t [s]	neMax [m-3]	ne [10^19 m-3]	TeMax [keV]	Ell [V/m]	Zeff [1]	ED [V/m]	Ell/ED [1]	Spri [a.u.]	int(Spri) [a.u.]
1.18345	3.83379628858378E19	3.83379628858378	2.39573665900571	0.250712820219035	8.6007	7.50544384677811	0.0334041297673101	1.87965475295017E15	2.06468062942066E19
1.1845	3.83260724586322E19	3.83260724586322	2.39664380816723	0.250566707269812	8.6464	7.50027606096525	0.0334076646290223	1.81225305877433E15	2.0646808088576E19
1.1852	3.83126764327045E19	3.83126764327045	2.39713472104492	0.250976882866277	8.692	7.49611905023032	0.0334809094125268	1.82104867052026E15	2.06468095770678E19
1.18635	3.82902286589179E19	3.82902286589179	2.39744661475856	0.251018008200323	8.7377	7.49075237073165	0.0335103866443531	1.78298751569578E15	2.06468109972902E19
1.1874	3.8265750555703E19	3.8265750555703	2.39763105164885	0.251097593018883	8.7834	7.48538784204955	0.0335450344480923	1.75120272738348E15	2.06468125095954E19
1.18845	3.82393020490247E19	3.82393020490247	2.3978102846207	0.252371315991494	8.8291	7.47965495901172	0.0337410371700942	1.88728720157123E15	2.06468133801655E19
1.1896	3.82109430648477E19	3.82109430648477	2.39840758202034	0.253140236047479	8.8748	7.4722465609721	0.0338773933624785	1.96223540362604E15	2.06468146190592E19
1.1903	3.81807335291368E19	3.81807335291368	2.39930393621886	0.252899732984905	8.9205	7.46354966573979	0.0338846452842406	1.89365197112477E15	2.0646815850929E19
1.19135	3.81487333678568E19	3.81487333678568	2.40041238104393	0.253950761354883	8.9662	7.45385071641251	0.0340697407308833	2.02059820196522E15	2.06468167927953E19
1.1924	3.81150025069723E19	3.81150025069723	2.40172549060731	0.254813142530322	9.0119	7.4431883858063	0.0342344072623817	2.12864238195935E15	2.06468179685687E19
1.19355	3.80796008724483E19	3.80796008724483	2.40322450837317	0.253135039264752	9.0575	7.43163667375447	0.0340618157718504	1.85347508443405E15	2.06468191053879E19
1.1946	3.80425883902494E19	3.80425883902494	2.40487612023338	0.252033072715627	9.1032	7.4193143856739	0.0339698602342937	1.68716303580505E15	2.06468203113861E19
1.1953	3.80105473494116E19	3.80105473494116	2.40669699096123	0.251848015257428	9.1489	7.40745691851051	0.0339992548087704	1.64596424715664E15	2.06468214927839E19
1.19645	3.79764113903219E19	3.79764113903219	2.40869375529786	0.250538130790858	9.1946	7.39466940192428	0.0338809103116445	1.4746781855926E15	2.06468222558051E19
1.1975	3.7940251520092E19	3.7940251520092	2.41086512894008	0.249589467571972	9.2403	7.38097469150845	0.0338152450053942	1.36054431615057E15	2.06468235201065E19
1.19855	3.79021387458336E19	3.79021387458336	2.41316614379885	0.24950077666957	9.286	7.36652927807382	0.0338695153784563	1.34464120745426E15	2.06468249834363E19
1.1997	3.78621440746584E19	3.78621440746584	2.41542203822324	0.248980914293834	9.3317	7.35188330763006	0.0338662766906858	1.28545472106752E15	2.06468263638977E19
1.2004	3.78203385136781E19	3.78203385136781	2.41738609987212	0.248193144527279	9.3774	7.33779909766828	0.0338239220267215	1.20188837789624E15	2.06468278557968E19
1.20145	3.77767930700043E19	3.77767930700043	2.41890761959691	0.247808609975492	9.423	7.32474028647158	0.0338317264890854	1.15790922590125E15	2.06468290281394E19
1.2025	3.77315787507488E19	3.77315787507488	2.4199694700538	0.24824974646527	9.4687	7.31276329331128	0.0339474609676393	1.18850938299658E15	2.06468305326599E19
1.2033	3.76847665630232E19	3.76847665630232	2.42062817485632	0.248244948084867	9.5254	7.3017031250039	0.0339982253229085	1.16615641957417E15	2.06468320252623E19
1.20435	3.76364275139392E19	3.76364275139392	2.4211318870722	0.24766081937317	9.6063	7.29081991773281	0.0339688570239963	1.07341194011639E15	2.06468330129212E19
1.2054	3.75866326106085E19	3.75866326106085	2.42193619497872	0.248302647401855	9.6871	7.27875576663767	0.0341133368617691	1.09195804682269E15	2.06468345837907E19
1.2065	3.75312411071053E19	3.75312411071053	2.42327451201431	0.248757517045358	9.7679	7.26401508813269	0.0342451817661773	1.10076596022978E15	2.06468359814353E19
1.2076	3.74741663115579E19	3.74741663115579	2.42516243129167	0.248426442829661	9.8488	7.2473222720455	0.034278376689263	1.04723001401708E15	2.06468374017474E19
1.2083	3.74154726921043E19	3.74154726921043	2.42761377865942	0.249668461505593	9.9296	7.2286644965532	0.0345386705420677	1.13283051092408E15	2.06468389904425E19
1.20935	3.73552247168821E19	3.73552247168821	2.43064655620902	0.251377146797997	10.01	7.20801973624613	0.0348746474061282	1.27536253988105E15	2.0646839926182E19
1.2105	3.72934868540295E19	3.72934868540295	2.43383079414738	0.251489205942869	10.091	7.18669203617411	0.03499373629439	1.26955884539514E15	2.06468412586043E19
1.21155	3.7230323571684E19	3.7230323571684	2.43695975374236	0.252546820867664	10.172	7.16530827106551	0.0352457718933717	1.35989146389025E15	2.06468425229326E19
1.2126	3.71657993379837E19	3.71657993379837	2.43999205270042	0.253835199839558	10.253	7.14400075539297	0.0355312392216559	1.48182121684597E15	2.06468437796417E19
1.2134	3.70999786210664E19	3.70999786210664	2.442733728033	0.253715919968651	10.334	7.12334463073481	0.0356175270355379	1.449035277501E15	2.06468448358889E19
1.21445	3.703292588907E19	3.703292588907	2.44477326441382	0.25363749832621	10.415	7.10453837328467	0.0357007711127253	1.41671805513168E15	2.06468455101645E19
1.2155	3.69517771241242E19	3.69517771241242	2.44624285447962	0.253899126876563	10.495	7.08471175629844	0.0358376085873702	1.42633412035298E15	2.06468465288813E19
1.2162	3.68707223624127E19	3.68707223624127	2.4472085636719	0.253828091171924	10.576	7.06638162941291	0.0359205183761088	1.39554832250112E15	2.06468473944605E19
1.21735	3.67898041072655E19	3.67898041072655	2.44769752431554	0.253507155960694	10.657	7.04946490226951	0.0359611913067444	1.33639862701523E15	2.06468482509195E19
1.2184	3.67090648620123E19	3.67090648620123	2.44777721374079	0.253679339148188	10.738	7.03376508368992	0.0360659385307631	1.32578157606344E15	2.06468491547746E19
1.21945	3.66285471299829E19	3.66285471299829	2.44755945691657	0.254502378899829	10.819	7.01896162427981	0.0362592634812905	1.37957479248197E15	2.06468496783423E19
1.2206	3.65482934145073E19	3.65482934145073	2.44726321981713	0.254841150932683	10.9	7.00443074232803	0.0363828497000718	1.38337330837108E15	2.06468504579544E19
1.2213	3.65059653601985E19	3.65059653601985	2.44698649661083	0.254414430756209	10.98	6.99710982336727	0.036359931054187	1.29016803176294E15	2.06468512183228E19
1.22235	3.64639983962898E19	3.64639983962898	2.44676637595799	0.254472672763109	11.061	6.98969476589605	0.0364068362476607	1.24777912419864E15	2.06468517655762E19
1.2234	3.64223925227812E19	3.64223925227812	2.44669929769676	0.254002401584872	11.142	6.98191084719758	0.0363800694600425	1.16046539695909E15	2.0646852457984E19
1.22455	3.63811477396724E19	3.63811477396724	2.4469378230056	0.252838197551847	11.223	6.97332469901939	0.036257912611957	1.02511554330148E15	2.06468531457918E19
1.2256	3.63402640469637E19	3.63402640469637	2.44706557898508	0.252806528062689	11.304	6.9651246999286	0.0362960519666332	986783939117423	2.06468539173563E19
1.2263	3.62997414446548E19	3.62997414446548	2.44694610645531	0.252653051884844	11.385	6.95769766515034	0.0363127379262728	939717708085179	2.06468547811575E19
1.22745	3.6259579932746E19	3.6259579932746	2.44654530249141	0.251570788128055	11.465	6.95113834847355	0.0361913078860385	831963693913919	2.06468553998653E19
1.2285	3.62197795112371E19	3.6219779511237	2.44594145890317	0.251846654342855	11.546	6.94522259724522	0.0362618549393576	816758683794982	2.06468564692788E19
1.22955	3.6180340180128E19	3.6180340180128	2.44528970518411	0.252329024456744	11.627	6.93950914328058	0.0363612208366452	814591648318822	2.06468575571023E19
1.2307	3.61412619394191E19	3.61412619394191	2.44507280359104	0.251872600920217	11.708	6.93262874384591	0.0363314711095419	757330298992250	2.06468586086985E19
1.2314	3.61025447891101E19	3.61025447891101	2.44539586861599	0.251989830469468	11.789	6.92428710821568	0.0363921695520801	738577563267009	2.06468596966097E19
1.23245	3.60641887292011E19	3.60641887292011	2.44625646215107	0.25252336292889	11.87	6.91449723056955	0.0365208567605558	746397745243771	2.0646860533996E19
1.2335	3.60261937596919E19	3.60261937596919	2.44763078977801	0.252090711937579	11.951	6.90333419784201	0.0365172400340089	701923050849049	2.06468616905348E19
1.2343	3.59885598805828E19	3.59885598805828	2.44948589917244	0.251732258234902	12.031	6.89090004523876	0.0365311144527245	666210556304089	2.06468629610485E19
1.23535	3.59512870918735E19	3.59512870918735	2.45139539876318	0.251783248278248	12.112	6.87840118214886	0.0366049088459229	652661452537669	2.0646863871391E19
1.2364	3.59143753935644E19	3.59143753935644	2.4532513089173	0.251907444141296	12.158	6.86614079021653	0.0366883598571464	657448619734876	2.06468654878925E19
1.2375	3.58778247856551E19	3.58778247856551	2.45501351300179	0.252351942333524	12.057	6.85422952681459	0.0368169670050138	745395979150531	2.06468671331782E19
1.2386	3.58416352681458E19	3.58416352681458	2.45630718411647	0.252536712951966	11.957	6.84370945282368	0.0369005602433591	825151635079400	2.06468689419952E19
1.2393	3.58058068410364E19	3.58058068410364	2.45662384539425	0.253200611477753	11.856	6.83598698619924	0.0370393641750524	942584862145708	2.06468711631503E19
1.2404	3.57703395043271E19	3.57703395043271	2.45628815959266	0.252983157588706	11.756	6.83014892629847	0.0370391861610267	1.00180328347198E15	2.06468726943421E19
1.2415	3.57352332580176E19	3.57352332580176	2.45541295459643	0.251661355017009	11.655	6.82587772458425	0.0368687171337131	976057667119963	2.06468751739894E19
1.24255	3.57004881021082E19	3.57004881021082	2.4540733751045	0.251385545178494	11.555	6.82296331214248	0.0368440417569175	1.02698265180409E15	2.06468778329191E19
1.2436	3.56661040365986E19	3.56661040365986	2.45266438818639	0.250672739804789	11.454	6.82030776535051	0.0367538751078495	1.04522913814132E15	2.06468810715381E19
1.2444	3.56320810614891E19	3.56320810614891	2.45165029784532	0.2497473246383	11.354	6.81662009986945	0.0366379996214082	1.04823661778928E15	2.06468843605229E19
1.24545	3.55984191767795E19	3.55984191767795	2.45068628717241	0.250025407923608	11.253	6.81285926633173	0.0366990419366507	1.15469443204316E15	2.06468867318652E19
1.2465	3.55651183824699E19	3.55651183824699	2.4496996664715	0.250247605006774	11.153	6.80922745254184	0.0367512477371215	1.26533167936366E15	2.06468909305905E19
1.2472	3.55321786785602E19	3.55321786785602	2.44865155738875	0.249985731911273	11.053	6.80583277143445	0.0367311011461399	1.33564696444208E15	2.06468950088054E19
1.24835	3.54996000650505E19	3.54996000650505	2.44736718225221	0.250330065114991	10.952	6.8031610819234	0.0367961396328156	1.47565999157595E15	2.06468992706603E19
1.2494	3.54673825419407E19	3.54673825419407	2.44566543246558	0.250941540390314	10.852	6.80171639821286	0.0368938552710384	1.65821752521794E15	2.06469043091241E19
1.25045	3.5435526109231E19	3.5435526109231	2.44382957975409	0.251003763296705	10.751	6.80071216094329	0.0369084527262053	1.78714814059514E15	2.064690770999E19
1.2516	3.54040307669211E19	3.54040307669211	2.44189767520442	0.252083212751375	10.651	6.80004323415147	0.0370708250037812	2.07573031965689E15	2.06469132171494E19
1.2523	3.53728965150112E19	3.53728965150112	2.43988929825021	0.252529994604569	10.55	6.79965576955219	0.0371386439495009	2.29910346989567E15	2.06469190212942E19
1.25335	3.53421233535013E19	3.53421233535013	2.43795378314531	0.252314626786784	10.45	6.79913392713152	0.0371098186167415	2.42403426614281E15	2.06469237315206E19
1.2544	3.53117112823913E19	3.53117112823913	2.43623543383465	0.252515020428844	10.349	6.79807474363596	0.0371450785629029	2.6405936676366E15	2.06469303664928E19
1.25555	3.52816603016814E19	3.52816603016814	2.43506155275722	0.253221139287671	10.249	6.79556383402313	0.0372627121858346	2.99178722432353E15	2.06469375303294E19
1.2566	3.52519704113713E19	3.52519704113713	2.43447091369331	0.253397246601705	10.148	6.7914926132279	0.0373109802266676	3.27294564261435E15	2.0646945868434E19
1.2573	3.52226416114613E19	3.52226416114613	2.43448771828639	0.253232113275976	10.048	6.78579541231699	0.0373179705383294	3.50231816209584E15	2.06469551004564E19
1.25845	3.51936739019511E19	3.51936739019511	2.43512471344222	0.25320379254801	9.9474	6.7784410458694	0.0373542811443799	3.79981272304814E15	2.06469610420363E19
1.2595	3.5165067282841E19	3.5165067282841	2.43639579054993	0.252599112028048	9.8469	6.76939783322202	0.0373148569860044	3.96821581768106E15	2.06469699603131E19
1.26055	3.51368217541308E19	3.51368217541308	2.43744815452419	0.252028069555934	9.7464	6.76104014255164	0.0372765231742608	4.14960297431123E15	2.0646978404459E19
1.2617	3.51089373158206E19	3.51089373158206	2.43820933268084	0.25232637858931	9.646	6.75356557241218	0.0373619499039211	4.6129427337063E15	2.06469857454526E19
1.2624	3.50814139679102E19	3.50814139679102	2.43862614717782	0.252586567982542	9.5455	6.74711774605722	0.0374362175804839	5.10381697904565E15	2.06469923903279E19
1.26345	3.50542517104E19	3.50542517104	2.43851337405585	0.252225304737749	9.445	6.74220548934979	0.0374099106199259	5.38601054156677E15	2.06469970393873E19
1.2645	3.50274505432896E19	3.50274505432896	2.43772600619285	0.251877532878201	9.3445	6.73922667033177	0.0373748421294459	5.66950324206848E15	
1.2653	3.50010104665792E19	3.50010104665792	2.43695943623489	0.251847827633981	9.2441	6.73625793190768	0.0373869038537037	6.1060628230539E15	
1.26635	3.49749314802687E19	3.49749314802687	2.43625081838281	0.251716338950688	9.1436	6.73319667300759	0.0373843734521795	6.53197951552467E15	
1.2674	3.49492135843583E19	3.49492135843583	2.43563911167816	0.251828726585343	9.0432	6.72993538160926	0.0374191893838252	7.11342355244045E15	
1.2685	3.49238567788477E19	3.49238567788477	2.43534424656058	0.252456670280629	8.9427	6.72586684363354	0.037535187084412	8.04676659828618E15	
1.2696	3.48988610637372E19	3.48988610637372	2.43551746116359	0.252470528830679	8.8422	6.72057500089169	0.0375668047447102	8.73872861363332E15	
1.2703	3.48742264390266E19	3.48742264390266	2.43595273245771	0.252328076373253	8.9289	6.71463101292554	0.0375788447477645	8.2372138906542E15	
1.2714	3.4849952904716E19	3.4849952904716	2.43663530362745	0.253165526537778	9.0771	6.70807777240708	0.0377403982373529	7.97783489899353E15	
1.2725	3.48260404608052E19	3.48260404608052	2.43754950873728	0.253310252739496	9.2253	6.70096085196063	0.0378020791847157	7.37515766552125E15	
1.27355	3.48024891072946E19	3.48024891072946	2.43825909280248	0.253015945579374	9.3735	6.69448048022507	0.0377947095860182	6.60768723781722E15	
1.2746	3.47792988441838E19	3.47792988441838	2.43852349380569	0.253054103547457	9.5216	6.68929430877351	0.0378297159411207	6.04921809296977E15	
1.2754	3.47564696714729E19	3.47564696714729	2.43851086399902	0.253196708622475	9.6698	6.68493807130859	0.0378756999573687	5.57343057811027E15	
1.27645			2.43828986364656	0.252601090305078	9.818		--	--	
1.2775			2.43792842769714	0.252026066933472	9.9661		--	--	
1.2782			2.43794170387912	0.252112813176365	10.114		--	--	
1.27935			2.43857661950661	0.252006677805493	10.262		--	--	
1.2804			2.43921539474336	0.25116050329944	10.411		--	--	
1.28145			2.43978821027734	0.251098373907272	10.559		--	--	
1.2826			2.44022182499803	0.251183894746924	10.707		--	--	
1.2833			2.44033671435105	0.250781153432039	10.855		--	--	
1.28435			2.44011219578268	0.251001439076549	11.003		--	--	
1.2854			2.44026059906962	0.251773941183451	11.151		--	--	
1.28655			2.44081128986685	0.251339698318259	11.3		--	--	
1.2876			2.44178850011215	0.250738850691448	11.448		--	--	
1.2883			2.44312995348079	0.251088845224425	11.596		--	--	
1.28945			2.44475685918106	0.250512496439934	11.744		--	--	
1.2905			2.44628918348146	0.249732035608218	11.892		--	--	
1.29155			2.44772535370042	0.249817668754187	12.041		--	--	
1.2927			2.44906044235492	0.249152055437364	12.189		--	--	
1.2934			2.45027500691817	0.248451318703876	12.337		--	--	
1.29445			2.45136693844142	0.248541992147478	12.485		--	--	
1.2955			2.45236096959211	0.248945625467069	12.633		--	--	
1.2963			2.45325588393791	0.248721588394873	12.781		--	--	
1.29735			2.45405306831654	0.248419351516204	12.93		--	--	
1.2984			2.45488778266176	0.248869728956573	13.078		--	--	
1.2995			2.45584436511612	0.24908270368291	13.226		--	--	
1.3006			2.45710342966336	0.248546479590609	13.374		--	--	
1.3013			2.45866646014116	0.248819610192087	13.522		--	--	
1.3024			2.46053853259112	0.249819065666282	13.67		--	--	
1.3035			2.46263037614441	0.249180666525505	13.707		--	--	
1.30455			2.46483736975639	0.249126871452129	13.62		--	--	
1.3056			2.46686105144495	0.250763222848276	13.533		--	--	
1.3064			2.46868378556302	0.250685402453699	13.445		--	--	
1.30745			2.47028147737104	0.250663005797233	13.358		--	--	
1.3085			2.47166498708123	0.251931438274561	13.271		--	--	
1.3092			2.47281873119351	0.252225401821975	13.184		--	--	
1.31035			2.47371436095066	0.25200658959669	13.096		--	--	
1.3114			2.47432606678144	0.252216721212973	13.009		--	--	
1.31245			2.47462448769149	0.251545926831349	12.922		--	--	
1.3136			2.47447823588184	0.25097553662838	12.834		--	--	
1.3143			2.47401364320898	0.250631131132118	12.747		--	--	
1.31535			2.4736579084122	0.250996753696631	12.66		--	--	
1.3164			2.47345161710346	0.250807657574323	12.573		--	--	
1.31755			2.47343577144122	0.250181341849605	12.485		--	--	
1.3186			2.47385526989592	0.250853030665521	12.398		--	--	
1.3193			2.47472847867311	0.251459293043524	12.311		--	--	
1.32045			2.4759687796935	0.250166849128338	12.224		--	--	
1.3215			2.47758205587549	0.249775043027568	12.136		--	--	
1.32255			2.47957187233286	0.250465688604535	12.049		--	--	
1.3237			2.4821982094326	0.249580920590136	11.962		--	--	
1.3244			2.48542108744855	0.249426711917265	11.875		--	--	
1.32545			2.48907692419727	0.250249917128589	11.787		--	--	
1.3265			2.49312611746612	0.249856314225899	11.7		--	--	
1.3273			2.49752699192249	0.249174895964098	11.613		--	--	
1.32835			2.5014983291533	0.249452439683245	11.525		--	--	
1.3294			2.50485080818761	0.249105082737282	11.438		--	--	
1.3305			2.50739630642676	0.248131858696871	11.351		--	--	
1.3316			2.50914727657232	0.247827601791981	11.264		--	--	
1.3323			2.51011467991459	0.247944610100264	11.176		--	--	
1.3334			2.5106555975986	0.24760574385902	11.089		--	--	
1.3345			2.51080141334522	0.247452177736955	11.002		--	--	
1.33555			2.51056321690422	0.248858193734178	10.915		--	--	
1.3366			2.50991477604071	0.249976680468297	10.827		--	--	
1.3374			2.50882942303939	0.249962621700626	10.859		--	--	
1.33845			2.50712715067623	0.251197930706248	10.898		--	--	
1.3395			2.50515400394408	0.252653079701111	10.938		--	--	
1.3402			2.50349036088075	0.251937103372154	10.978		--	--	
1.34135			2.50221138890588	0.252143492436174	11.017		--	--	
1.3424			2.50139603552588	0.253115139180214	11.057		--	--	
1.34345			2.50131876527459	0.252413522589943	11.096		--	--	
1.3446			2.50169257149016	0.252162561701877	11.136		--	--	
1.3453			2.50206984057629	0.252386212668423	11.175		--	--	
1.34635			2.50243392290685	0.251343260734165	11.215		--	--	
1.3475			2.50276332963394	0.250014307745643	11.254		--	--	
1.34855			2.50329061284769	0.249332399848128	11.294		--	--	
1.3496			2.50411875012744	0.248972211669819	11.333		--	--	
1.3503			2.50538532095928	0.248126785426302	11.373		--	--	
1.35145			2.50707483884311	0.247724145509396	11.413		--	--	
1.3525			2.50916853500884	0.247896959546021	11.452		--	--	
1.35355			2.51135764683264	0.247820765039511	11.492		--	--	
1.3547			2.51351443493864	0.247257153774809	11.531		--	--	
1.3554			2.51548662681802	0.247295047314816	11.571		--	--	
1.35645			2.51726444557077	0.247103871567083	11.61		--	--	
1.3575			2.51884749154527	0.246195421695441	11.65		--	--	
