t [s]	neMax [m^-3]	ne [10^19 m^-3]	TeMax [keV]	Zeff [s]	Ell [V/m]	ED [V/m]	Ell/ED [1]	Spri [a.u.]	Integrated Spri [a.u.]
1.2366	2.05429580232989E19	2.05429580232989	4.29912907552891	9.3198	0.176506815199642	2.24113965513697	0.0787576154815104	1.73088658014411E18	4.65433701367413E21
1.2373	2.05401397124168E19	2.05401397124168	4.30100993390601	9.4124	0.176015059083992	2.23985226089127	0.0785833343373964	1.62354379395219E18	4.65433818772476E21
1.23835	2.05398684744662E19	2.05398684744662	4.30189638274507	9.505	0.175100273659426	2.23936114515395	0.0781920656426269	1.48079945250384E18	4.65433981750496E21
1.2394	2.05421677663699E19	2.05421677663699	4.3017968855138	9.5975	0.175626070682794	2.23966362616343	0.0784162713682337	1.46969044130987E18	4.65434136651216E21
1.24045	2.05470610450509E19	2.05470610450509	4.30318100052724	9.6901	0.176298276727564	2.23947657091988	0.0787229833153147	1.47379382996465E18	4.6543429118414E21
1.2415	2.0554571767432E19	2.0554571767432	4.30634632958442	9.7827	0.175493363835431	2.23864848116124	0.078392550376823	1.35467130810845E18	4.6543443967856E21
1.24255	2.0564723390436E19	2.0564723390436	4.31172136825333	9.8753	0.173090373728721	2.23696201735011	0.0773774308129569	1.1301874968642E18	4.65434570133647E21
1.2436	2.05775393709858E19	2.05775393709858	4.31916634799402	9.9679	0.170360578132272	2.23449782561281	0.0762411026672405	9.21477759898834E17	4.65434677846073E21
1.2443	2.05930431660044E19	2.05930431660044	4.32854255270187	10.06	0.169141704682758	2.23133750049651	0.0758028333432845	8.2720537106109E17	4.65434739049982E21
1.24535	2.06112582324144E19	2.06112582324144	4.33820064229724	10.153	0.166794404581779	2.22833917809742	0.0748514437215032	6.87246350797046E17	4.65434818558698E21
1.2464	2.0613241005071E19	2.0613241005071	4.34779496211757	10.246	0.166244720748336	2.22363577109222	0.0747625680921113	6.46357554487911E17	4.65434888572903E21
1.24745	2.06163181890992E19	2.06163181890992	4.35688738038852	10.264	0.165201040444388	2.21932650614549	0.0744374655945995	6.05813394106856E17	4.65434954311878E21
1.2485	2.06204837940969E19	2.06204837940969	4.36543057538764	10.091	0.162538767402702	2.21543080583217	0.073366663934985	5.49375868507719E17	4.65435014959314E21
1.24955	2.06257318296619E19	2.06257318296619	4.3733750593506	9.9189	0.160477153615672	2.21196916610539	0.0725494532540086	5.17543529488021E17	4.65435070972582E21
1.2506	2.0632056305392E19	2.0632056305392	4.3805904858447	9.7465	0.159922245803027	2.2090028927052	0.0723956706128084	5.41755690518191E17	4.65435126585791E21
1.2513	2.0639451230885E19	2.0639451230885	4.38728769906117	9.574	0.159257685274882	2.20642138093435	0.0721791796666878	5.62282039708915E17	4.65435165227112E21
1.2523	2.06479106157387E19	2.06479106157387	4.39372588035503	9.4016	0.157812858926388	2.20409129354284	0.0715999647513336	5.51587796406043E17	4.65435220920604E21
1.2533	2.0657428469551E19	2.0657428469551	4.39991430735307	9.2292	0.157918101980179	2.20200583360599	0.0717155693096297	6.04650665496793E17	4.65435278732527E21
