t [s]	neMax [m^-3]	ne [10^19 m^-3]	TeMax [keV]	Zeff [1]	Ell [V/m]	ED [V/m]	Ell/ED [1]	Spri [a.u.]	int(Spri) [a.u.]
0.07451	7.974E19	7.974	2.53334166367511	13.648	0.717360966520022	14.7628052810014	0.0485924560315924	8.76260172518837E17	6.54784338540455E19
0.075585	7.974E19	7.974	2.53858080899741	13.612	0.683658679333206	14.7323376740779	0.0464053088150516	4.15014767605516E17	6.54784342843809E19
0.076301	7.974E19	7.974	2.54394038301306	13.575	0.652004020101106	14.7012995826529	0.0443500941148394	1.93613476801915E17	6.54784344774312E19
0.077375	7.974E19	7.974	2.54954854313587	13.539	0.621912446258028	14.6689616056825	0.0423964874253342	8.8055241513409E16	6.54784345359326E19
0.07845	7.974E19	7.974	2.55546196155538	13.503	0.592119944529915	14.6350171725197	0.0404591219504508	3.76036716055521E16	6.54784345768094E19
0.079524	7.974E19	7.974	2.56159183551365	13.467	0.564301691679603	14.5999956638621	0.0386508122790998	1.58331215314169E16	6.54784345969667E19
0.080598	7.974E19	7.974	2.56811118211821	13.43	0.539532214723212	14.5629324584913	0.0370483222565949	6.89642932057633E15	6.54784346075756E19
0.081315	7.974E19	7.974	2.57519602780667	13.394	0.516976925909467	14.5228671088536	0.0355974424357504	3.05705240168948E15	6.54784346136739E19
0.082389	7.974E19	7.974	2.58302979169762	13.364	0.494643170585526	14.4788224322044	0.0341632182383368	1.27657510580537E15	6.54784346162781E19
0.083463	7.974E19	7.974	2.59180456336896	13.338	0.474673441173663	14.4298031648151	0.032895351083588	553303575193128	6.54784346189795E19
0.084538	7.974E19	7.974	2.60173073559783	13.311	0.456522427744629	14.3747503073142	0.0317586335751752	247320460256939	6.54784346209581E19
0.085612	7.974E19	7.974	2.61220585553701	13.284	0.439749992847629	14.3171065985515	0.0307150044473455	112177258940424	6.54784346226268E19
0.086328	7.974E19	7.974	2.62307128625484	13.257	0.424094923064	14.2578014890634	0.0297447627805244	51234327986280.7	6.54784346245053E19
0.087403	7.974E19	7.974	2.63442379762248	13.23	0.410280638944322	14.1963604051997	0.028900410192041	24815685540043.3	6.54784346260216E19
0.088477	7.974E19	7.974	2.64634849912176	13.203	0.398032435507608	14.1323902363938	0.0281645517035464	12721084962256.8	6.54784346288925E19
0.0895515	7.974E19	7.974	2.65891745562906	13.176	0.387417009266818	14.0655850793366	0.0275436113806572	7025644743205.81	6.5478434633231E19
0.090626	7.974E19	7.974	2.67192896134274	13.149	0.37874905838149	13.9970898299217	0.0270591289320609	4325342368942.59	6.54784346400927E19
0.091342	7.974E19	7.974	2.68537240335684	13.122	0.37173933233559	13.9270179600911	0.0266919546884219	2948838457088.65	6.54784346507502E19
0.0924165	7.974E19	7.974	2.69932372450837	13.095	0.365332101498229	13.8550368566465	0.0263681796936523	2079493018611.51	6.5478434662685E19
0.093491	7.974E19	7.974	2.71395361040959	13.068	0.360183329858279	13.7803496521223	0.02613745942236	1603277876190.23	6.54784346936256E19
0.0945655	7.974E19	7.974	2.72954341084594	13.041	0.35753977955428	13.7016431182141	0.0260946644478712	1502706118092.49	6.54784347427269E19
0.09564	7.974E19	7.974	2.7457450228518	13.015	0.359345079546992	13.6207948588904	0.0263820932089323	1993818745049.91	6.54784348219427E19
0.096356	7.974E19	7.974	2.76246937247123	12.988	0.358970605981259	13.5383327915876	0.0265151264566575	2241761195916.44	6.54784349575843E19
0.0974305	7.974E19	7.974	2.77971886110941	12.961	0.361297001355882	13.454320943866	0.0268536036016445	3101750551673.31	6.54784351023628E19
0.098505	7.974E19	7.974	2.79743646005377	12.934	0.365656361945946	13.3691078332356	0.027350842442674	4973799847411.47	6.54784354575516E19
0.099579	7.974E19	7.974	2.81551785411551	12.907	0.369846006006493	13.2832507655444	0.0278430342492548	7803969113606.07	6.54784360379861E19
0.10065	7.974E19	7.974	2.83379913748656	12.88	0.374004137609515	13.1975584283137	0.0283388885634435	12097915106506.3	6.54784369764066E19
