time	neMax	n	TeMax	Ell	Zeff	ED	Ell/ED	a	b	c	d	Spri	Integrated Spri
1.17845	2.49190927843082E19	2.49190927843082	3.20688688635854	0.241127766769062	20	3.64447530065636	0.0661625465607178	14351648878370.9	44039.1991529358	4.18518724156564E-10	0.270958756919877	71673612.9797314	996131492.251743
1.1795	2.49163873859245E19	2.49163873859245	3.20837327344385	0.241239032329005	20	3.64239138710368	0.0662309473888887	14338562800876.1	43860.3851423894	4.24039274732444E-10	0.271368349185036	72367461.6254915	996240473.861143
1.1802	2.49136353918667E19	2.49136353918667	3.20978005499579	0.241688856579445	20	3.64039287802205	0.066390871721176	14325972273975.9	43445.8490632851	4.37194421765033E-10	0.272552721820999	74164748.9352592	996317162.084888
1.18135	2.49108744122055E19	2.49108744122055	3.21090333907177	0.243594486371897	20	3.63871604918512	0.0669451760124152	14315281932335.1	42046.5439586597	4.85577967052865E-10	0.277057322174767	80976465.2184254	996440359.447994
1.1824	2.4908142057012E19	2.4908142057012	3.21167292331175	0.244302719408242	20	3.63744511864865	0.0671632729675392	14306997828194.1	41511.4910923239	5.05853169150044E-10	0.278787160272741	83755645.1186924	996565726.892005
1.18345	2.49054759363569E19	2.49054759363569	3.21161363010088	0.243309173783316	20	3.6371229211446	0.0668960546724514	14304331327239.2	42168.2434953206	4.81110163669107E-10	0.276569395460534	80260474.7050588	996702118.073494
1.1845	2.49029136603113E19	2.49029136603113	3.21022724068523	0.242930572398127	20	3.6383193235742	0.0667699975711526	14310653653284.8	42482.5809166413	4.69807825186377E-10	0.275671683206464	78737707.9746069	996825373.989174
1.18555	2.4900492838946E19	2.4900492838946	3.20845336834654	0.242712524844738	20	3.6399769799793	0.0666796867616779	14319738828524	42709.5890773813	4.61853101484439E-10	0.275114108863858	77710055.2378789	996906484.25176
1.1866	2.48923150545609E19	2.48923150545609	3.206463280697	0.242861493533762	20	3.64103994939424	0.0667011339917232	14323659241967.2	42655.5411748834	4.63731527875317E-10	0.275513552488025	78061883.6991906	997026063.411637
1.1873	2.48778972130367E19	2.48778972130367	3.20436417729152	0.242524519071374	20	3.64131480585283	0.0666035572320073	14321131915280.2	42902.1333962088	4.55238709725982E-10	0.274930778078832	76898661.2249619	997142756.800259
1.18835	2.48626830320212E19	2.48626830320212	3.20246893582562	0.241343757239221	20	3.64124158008094	0.0662806221261091	14316320315460.3	43731.095444816	4.28088070274312E-10	0.272437032970777	73016503.1726413	997255544.372443
1.1895	2.48466916895787E19	2.48466916895787	3.20107738006811	0.241849815193689	20	3.6404814661551	0.0664334697050714	14307234392798.2	43336.261333084	4.40757771105314E-10	0.273871813434289	74843562.1472992	997365167.204404
1.19055	2.48299423637732E19	2.48299423637732	3.19952242447546	0.240749677851909	20	3.63979545987398	0.0661437381594636	14298368783785.8	44088.5284018691	4.17011725298652E-10	0.271614599417961	71402509.1331267	997473287.469313
1.1916	2.4812454232669E19	2.4812454232669	3.19776767395186	0.241406019317236	20	3.63922779604906	0.0663344074199805	14289988950693.1	43591.6454893126	4.32509779244534E-10	0.273408615488814	73661962.165891	997578457.317686
1.1923	2.47942464743301E19	2.47942464743301	3.19580255025502	0.24169165592407	20	3.63879342222744	0.0664208235751182	14282187443814.9	43368.7585999665	4.39697287350244E-10	0.274350947352839	74719158.1366175	997654816.986453
1.19335	2.47753382668209E19	2.47753382668208	3.19396714729726	0.242633255173705	20	3.63810788778956	0.0666921550039912	14272706240892.6	42678.1581504008	4.6294430878454E-10	0.276826118663966	78063462.192204	997749532.059934
