t	n	neMax	TeMax	Ell	Zeff	ED	EllED	10	20	30	40	Spri	intSpri
0.45239	10.9984265824646	1.09984265824646E20	1.55952908877864	0.199139313819954	1.4424	33.0768014405531	0.00602051302263476	126109382086160	126109382086160	1.65467512068485E-27	2.97148571447314E-8	7.8195395245285E-7	9.90760362531216E16
0.45348	11.0003519196716	1.10003519196716E20	1.56000198955958	0.199536696701511	1.4372	33.0725630284537	0.00603330006597436	125900534826669	125900534826669	1.88588613486464E-27	3.18117096837272E-8	9.50949879982762E-7	9.90760362531216E16
0.45456	11.0021697807249	1.10021697807249E20	1.56054763905742	0.199800424487218	1.432	33.0664626107725	0.00604238883484702	125680495038849	125680495038849	2.08190582581545E-27	3.33761327191519E-8	1.09757159623506E-6	9.90760362531216E16
0.45564	10.9980933756684	1.09980933756684E20	1.56109184537302	0.199411968860393	1.4267	33.042688278998	0.00603498018008238	125322599515692	125322599515692	1.99784092595147E-27	3.2171207436181E-8	1.00945521452456E-6	9.90760362531216E16
0.45636	10.9944440226538	1.09944440226538E20	1.56164291826941	0.200711342354143	1.4215	33.0200679152282	0.00607846546134991	124978032803827	124978032803827	2.94968391858824E-27	4.02138061764862E-8	1.85275515255076E-6	9.90760362531216E16
0.45744	10.9912112768773	1.09912112768773E20	1.56221934197736	0.201746177221238	1.4162	32.9981787982758	0.00611385793302568	124636772078819	124636772078819	4.05290769442368E-27	4.80681149784504E-8	3.02632935000266E-6	9.90760362531216E16
0.45852	10.988384693535	1.0988384693535E20	1.5629895982042	0.202136953930558	1.411	32.9734350998918	0.00613029711093769	124285941284327	124285941284327	4.74521038540312E-27	5.2084013726844E-8	3.81771872913755E-6	9.90760362531216E16
0.4596	10.9859538278231	1.09859538278231E20	1.56389887301444	0.202106923121493	1.4058	32.9469736506092	0.00613430918617183	123928225407137	123928225407137	5.01124956453874E-27	5.29846581558573E-8	4.07790054763327E-6	9.90760362531216E16
0.46069	10.9839082349379	1.09839082349379E20	1.56488556839701	0.202852019280483	1.4005	32.9200689629332	0.00616195608547743	123567050417900	123567050417900	6.42882612828641E-27	6.04632615708017E-8	5.93510779181733E-6	9.90760362531216E16
0.46141	10.9822374700754	1.09822374700754E20	1.56593468881726	0.20273289761415	1.3953	32.8930095656455	0.0061634037228959	123211448558691	123211448558691	6.64607334701233E-27	6.06443099769053E-8	6.11867401348878E-6	9.90760362531216E16
0.46249	10.9809310884319	1.09809310884319E20	1.56702864246076	0.201618548438796	1.3901	32.8661367006208	0.00613453751121859	122859524045877	122859524045877	5.35640906497967E-27	5.24138648148653E-8	4.2377719075246E-6	9.90760362531216E16
0.46357	10.9799786452036	1.09799786452036E20	1.56813702836554	0.202121096700583	1.3848	32.8400576907021	0.00615471198632544	122510874253573	122510874253573	6.46314220951748E-27	5.76064771136813E-8	5.58810177244648E-6	9.90760362531216E16
0.46429	10.9793696955866	1.09793696955866E20	1.56924353947192	0.2033317654004	1.3796	32.8150813561738	0.00619629015066104	122174565400155	122174565400155	9.26489167056152E-27	7.01249057157881E-8	9.6978227409379E-6	9.90760362531216E16
0.46537	10.9790937947772	1.09790937947772E20	1.57033453192577	0.204074947169169	1.3744	32.7914589874073	0.00622341772738865	121848163730883	121848163730883	1.17780302176999E-26	7.94568665531389E-8	1.38944728947427E-5	9.90760362531216E16
0.46645	10.9797341007485	1.09797341007485E20	1.57139361747881	0.20419589413993	1.3691	32.771269372792	0.00623094247028043	121542694864245	121542694864245	1.27859210090845E-26	8.2020520502673E-8	1.54921702425949E-5	9.90760362531216E16
0.46753	10.9807386363387	1.09807386363387E20	1.57241094575943	0.205533954917903	1.3639	32.7530631144787	0.00627525902537785	121254334430698	121254334430698	1.85784613647166E-26	1.00554749845121E-7	2.74667249025591E-5	9.90760362531216E16
0.46862	10.9820978783444	1.09820978783444E20	1.57340843527623	0.205643684272609	1.365	32.7363504846752	0.0062818145953342	121209760817747	121209760817747	1.94762371623656E-26	1.02445518507036E-7	2.93138733851609E-5	9.90760362531216E16
0.46934	10.983802303562	1.0983802303562E20	1.57436575684233	0.205296625526059	1.3713	32.7215221578245	0.00627405487238215	121369905386910	121369905386910	1.78523709560467E-26	9.7042546668392E-8	2.55199673488844E-5	9.90760362531216E16
0.47042	10.9858423887881	1.09858423887881E20	1.57526672803355	0.205997185556806	1.3777	32.7088812193245	0.00629789763139627	121547521164660	121547521164660	2.09818169388983E-26	1.06429016599832E-7	3.29909905575948E-5	9.90760362531216E16
0.4715	10.9882086108192	1.09882086108192E20	1.57608978954598	0.206601904909962	1.3841	32.698841503993	0.00631832491327661	121741239102434	121741239102434	2.3982828252982E-26	1.1490305199604E-7	4.08420372645388E-5	9.90760362531216E16
0.47258	10.9908914464517	1.09908914464517E20	1.57679157591463	0.205683657113635	1.3905	32.6922682138133	0.00629150769742946	121955937829577	121955937829577	1.89389034257909E-26	1.00024486320648E-7	2.8175203381371E-5	9.90760362531216E16
0.47366	10.9938813724823	1.09938813724823E20	1.57719928356545	0.204760572613538	1.3969	32.6927084269202	0.00626318780137935	122211575444533	122211575444533	1.47521928134817E-26	8.65766532679795E-8	1.90757691902537E-5	9.90760362531216E16
0.47438	10.9971688657075	1.09971688657075E20	1.57740271147985	0.205448219256955	1.4032	32.6982670682912	0.00628315313554297	122494005817390	122494005817390	1.68387436721041E-26	9.40247329945295E-8	2.37564459544817E-5	9.90760362531216E16
0.475465	11.0057039819717	1.10057039819717E20	1.57747258502312	0.204355264585031	1.4096	32.7221953468928	0.00624515752744066	122913102654337	122913102654337	1.21350745763838E-26	7.7975248042908E-8	1.42953758340691E-5	9.90760362531216E16
0.47655	11.0140583987414	1.10140583987414E20	1.5774215961679	0.203204013740745	1.416	32.7480932473168	0.00620506397750027	123343154453474	123343154453474	8.56712549241913E-27	6.38888260194752E-8	8.32703018070126E-6	9.90760362531216E16
0.47763	11.0222310188731	1.10222310188731E20	1.57727144487184	0.204217697162096	1.4224	32.7755127229112	0.00623080099123335	123781699521981	123781699521981	1.02685345587979E-26	7.17529726193848E-8	1.12891501546326E-5	9.90760362531216E16
0.47871	11.0302207452236	1.10302207452236E20	1.57707759172666	0.204493547536715	1.4287	32.8033024937114	0.00623393170781868	124218532797806	124218532797806	1.02632484923591E-26	7.23618165304417E-8	1.14595376365082E-5	9.90760362531216E16
0.47943	11.0380264806497	1.10380264806497E20	1.57682618332386	0.203629014263797	1.4351	32.8317501885289	0.00620219796673962	124662732596629	124662732596629	7.74381048692485E-27	6.17921345668345E-8	7.43637356919846E-6	9.90760362531216E16
0.48051	11.0456471280081	1.10456471280081E20	1.57650593203417	0.204230675207685	1.4415	32.8610912543443	0.00621496935774114	125111944227615	125111944227615	8.36536167629243E-27	6.53624998020809E-8	8.5587614527814E-6	9.90760362531216E16
0.48159	11.0530815901556	1.10530815901556E20	1.5761211772786	0.2052650259166	1.4479	32.891236258318	0.00624072091132449	125565682533824	125565682533824	1.00253097102597E-26	7.35674759505835E-8	1.16285503430169E-5	9.90760362531216E16
0.48231	11.0603287699488	1.10603287699488E20	1.57565418900268	0.205089397573961	1.4542	32.9225566827889	0.00622944929672416	126022356271178	126022356271178	8.92830745859895E-27	6.9484058195743E-8	9.8525694230782E-6	9.90760362531216E16
0.483395	11.0673875702446	1.10673875702446E20	1.57502575126885	0.20569913099569	1.4606	32.9567126867144	0.00624149419728419	126499050915603	126499050915603	9.58305715192553E-27	7.34342557936735E-8	1.12610091268117E-5	9.90760362531216E16
